id,name,region,level,type,lat,lon,relations
AYA-I-001,Centro de Salud Ayacucho #1,Ayacucho,I-3,Centro de Salud,-13.658043,-74.907974,"[{""target_id"": ""AYA-HII-006"", ""weight_km"": 5.579, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 26.03, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 33.426, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 54.545, ""level_gap"": 1}]"
AYA-I-002,Puesto de Salud Ayacucho #2,Ayacucho,I-2,Puesto de Salud,-13.715722,-74.091832,"[{""target_id"": ""AYA-HII-004"", ""weight_km"": 12.545, ""level_gap"": 1}, {""target_id"": ""AYA-HII-005"", ""weight_km"": 25.633, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 62.948, ""level_gap"": 1}, {""target_id"": ""APU-HII-007"", ""weight_km"": 31.972, ""level_gap"": 1}]"
AYA-I-003,Centro de Salud Ayacucho #3,Ayacucho,I-4,Centro de Salud,-13.723597,-73.838201,"[{""target_id"": ""AYA-HII-004"", ""weight_km"": 39.948, ""level_gap"": 1}, {""target_id"": ""AYA-HII-005"", ""weight_km"": 52.894, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 54.487, ""level_gap"": 1}, {""target_id"": ""APU-HII-007"", ""weight_km"": 8.154, ""level_gap"": 1}]"
AYA-I-004,Puesto de Salud Ayacucho #4,Ayacucho,I-4,Puesto de Salud,-12.993387,-74.226454,"[{""target_id"": ""AYA-HII-010"", ""weight_km"": 19.068, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 26.557, ""level_gap"": 1}, {""target_id"": ""AYA-HII-012"", ""weight_km"": 48.153, ""level_gap"": 1}, {""target_id"": ""HUA-HII-001"", ""weight_km"": 26.295, ""level_gap"": 1}]"
AYA-I-005,Puesto de Salud Ayacucho #5,Ayacucho,I-3,Puesto de Salud,-12.77188,-74.281917,"[{""target_id"": ""AYA-HII-012"", ""weight_km"": 31.065, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 34.314, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 41.695, ""level_gap"": 1}, {""target_id"": ""HUA-HII-002"", ""weight_km"": 30.312, ""level_gap"": 1}]"
AYA-I-006,Centro de Salud Ayacucho #6,Ayacucho,I-4,Centro de Salud,-13.440326,-73.690117,"[{""target_id"": ""AYA-HII-007"", ""weight_km"": 20.596, ""level_gap"": 1}, {""target_id"": ""AYA-HII-009"", ""weight_km"": 53.393, ""level_gap"": 1}, {""target_id"": ""AYA-HII-004"", ""weight_km"": 63.865, ""level_gap"": 1}, {""target_id"": ""APU-HII-004"", ""weight_km"": 6.909, ""level_gap"": 1}]"
AYA-I-007,Puesto de Salud Ayacucho #7,Ayacucho,I-3,Puesto de Salud,-13.745403,-74.579552,"[{""target_id"": ""AYA-HII-008"", ""weight_km"": 15.667, ""level_gap"": 1}, {""target_id"": ""AYA-HII-005"", ""weight_km"": 27.227, ""level_gap"": 1}, {""target_id"": ""AYA-HII-006"", ""weight_km"": 33.137, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 61.535, ""level_gap"": 1}]"
AYA-I-008,Centro de Salud Ayacucho #8,Ayacucho,I-2,Centro de Salud,-12.838777,-74.601712,"[{""target_id"": ""AYA-HII-012"", ""weight_km"": 15.167, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 34.063, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 35.471, ""level_gap"": 1}, {""target_id"": ""HUA-HII-002"", ""weight_km"": 13.076, ""level_gap"": 1}]"
AYA-I-009,Centro de Salud Ayacucho #9,Ayacucho,I-3,Centro de Salud,-13.143294,-74.823068,"[{""target_id"": ""AYA-HII-002"", ""weight_km"": 21.593, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 26.847, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 41.864, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 14.112, ""level_gap"": 1}]"
AYA-I-010,Centro de Salud Ayacucho #10,Ayacucho,I-4,Centro de Salud,-12.553422,-74.360943,"[{""target_id"": ""AYA-HII-012"", ""weight_km"": 27.697, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 56.718, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 62.972, ""level_gap"": 1}, {""target_id"": ""HUA-HII-005"", ""weight_km"": 14.177, ""level_gap"": 1}]"
AYA-I-011,Puesto de Salud Ayacucho #11,Ayacucho,I-3,Puesto de Salud,-12.789601,-74.088553,"[{""target_id"": ""AYA-HII-010"", ""weight_km"": 44.407, ""level_gap"": 1}, {""target_id"": ""AYA-HII-012"", ""weight_km"": 52.011, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 52.327, ""level_gap"": 1}, {""target_id"": ""HUA-HII-001"", ""weight_km"": 47.401, ""level_gap"": 1}]"
AYA-I-012,Puesto de Salud Ayacucho #12,Ayacucho,I-4,Puesto de Salud,-12.886586,-74.050134,"[{""target_id"": ""AYA-HII-010"", ""weight_km"": 41.467, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 49.051, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 56.538, ""level_gap"": 1}, {""target_id"": ""HUA-HII-001"", ""weight_km"": 47.109, ""level_gap"": 1}]"
AYA-I-013,Puesto de Salud Ayacucho #13,Ayacucho,I-3,Puesto de Salud,-13.763732,-74.951527,"[{""target_id"": ""AYA-HII-006"", ""weight_km"": 10.093, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 33.822, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 46.082, ""level_gap"": 1}, {""target_id"": ""HUA-HII-008"", ""weight_km"": 62.422, ""level_gap"": 1}]"
AYA-I-014,Puesto de Salud Ayacucho #14,Ayacucho,I-4,Puesto de Salud,-12.884141,-75.003,"[{""target_id"": ""AYA-HII-002"", ""weight_km"": 13.662, ""level_gap"": 1}, {""target_id"": ""AYA-HII-011"", ""weight_km"": 36.433, ""level_gap"": 1}, {""target_id"": ""AYA-HII-012"", ""weight_km"": 51.778, ""level_gap"": 1}, {""target_id"": ""HUA-HII-011"", ""weight_km"": 14.442, ""level_gap"": 1}]"
AYA-I-015,Puesto de Salud Ayacucho #15,Ayacucho,I-3,Puesto de Salud,-12.95402,-73.332427,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 18.295, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 51.231, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 114.933, ""level_gap"": 1}, {""target_id"": ""APU-HII-005"", ""weight_km"": 19.074, ""level_gap"": 1}]"
AYA-I-016,Centro de Salud Ayacucho #16,Ayacucho,I-3,Centro de Salud,-12.856721,-73.523327,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 16.169, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 47.857, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 96.395, ""level_gap"": 1}, {""target_id"": ""APU-HII-005"", ""weight_km"": 31.987, ""level_gap"": 1}]"
AYA-I-017,Centro de Salud Ayacucho #17,Ayacucho,I-4,Centro de Salud,-12.543092,-74.480165,"[{""target_id"": ""AYA-HII-012"", ""weight_km"": 20.352, ""level_gap"": 1}, {""target_id"": ""AYA-HII-011"", ""weight_km"": 51.521, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 58.664, ""level_gap"": 1}, {""target_id"": ""HUA-HII-005"", ""weight_km"": 10.61, ""level_gap"": 1}]"
AYA-I-018,Centro de Salud Ayacucho #18,Ayacucho,I-3,Centro de Salud,-13.16883,-74.727226,"[{""target_id"": ""AYA-HII-001"", ""weight_km"": 24.528, ""level_gap"": 1}, {""target_id"": ""AYA-HII-002"", ""weight_km"": 29.884, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 31.934, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 4.606, ""level_gap"": 1}]"
AYA-I-019,Centro de Salud Ayacucho #19,Ayacucho,I-3,Centro de Salud,-12.826291,-74.403784,"[{""target_id"": ""AYA-HII-012"", ""weight_km"": 21.497, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 26.364, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 32.288, ""level_gap"": 1}, {""target_id"": ""HUA-HII-002"", ""weight_km"": 19.902, ""level_gap"": 1}]"
AYA-I-020,Centro de Salud Ayacucho #20,Ayacucho,I-3,Centro de Salud,-13.627087,-74.39704,"[{""target_id"": ""AYA-HII-005"", ""weight_km"": 14.896, ""level_gap"": 1}, {""target_id"": ""AYA-HII-004"", ""weight_km"": 22.741, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 29.329, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 57.719, ""level_gap"": 1}]"
AYA-I-021,Puesto de Salud Ayacucho #21,Ayacucho,I-3,Puesto de Salud,-12.713008,-73.564828,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 32.744, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 61.797, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 97.276, ""level_gap"": 1}, {""target_id"": ""APU-HII-005"", ""weight_km"": 48.409, ""level_gap"": 1}]"
AYA-I-022,Centro de Salud Ayacucho #22,Ayacucho,I-3,Centro de Salud,-12.478946,-73.891098,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 72.096, ""level_gap"": 1}, {""target_id"": ""AYA-HII-012"", ""weight_km"": 77.025, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 84.332, ""level_gap"": 1}, {""target_id"": ""HUA-HII-005"", ""weight_km"": 60.037, ""level_gap"": 1}]"
AYA-I-023,Centro de Salud Ayacucho #23,Ayacucho,I-2,Centro de Salud,-13.648711,-74.802808,"[{""target_id"": ""AYA-HII-006"", ""weight_km"": 10.5, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 14.621, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 29.718, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 50.149, ""level_gap"": 1}]"
AYA-I-024,Puesto de Salud Ayacucho #24,Ayacucho,I-2,Puesto de Salud,-13.843112,-73.624032,"[{""target_id"": ""AYA-HII-004"", ""weight_km"": 64.603, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 65.777, ""level_gap"": 1}, {""target_id"": ""AYA-HII-005"", ""weight_km"": 76.781, ""level_gap"": 1}, {""target_id"": ""APU-HII-007"", ""weight_km"": 28.016, ""level_gap"": 1}]"
AYA-I-025,Puesto de Salud Ayacucho #25,Ayacucho,I-4,Puesto de Salud,-13.465297,-74.857782,"[{""target_id"": ""AYA-HII-001"", ""weight_km"": 12.114, ""level_gap"": 1}, {""target_id"": ""AYA-HII-006"", ""weight_km"": 26.459, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 27.772, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 32.881, ""level_gap"": 1}]"
AYA-I-026,Centro de Salud Ayacucho #26,Ayacucho,I-2,Centro de Salud,-13.006263,-74.546499,"[{""target_id"": ""AYA-HII-003"", ""weight_km"": 16.876, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 18.35, ""level_gap"": 1}, {""target_id"": ""AYA-HII-012"", ""weight_km"": 33.165, ""level_gap"": 1}, {""target_id"": ""HUA-HII-001"", ""weight_km"": 8.421, ""level_gap"": 1}]"
AYA-I-027,Puesto de Salud Ayacucho #27,Ayacucho,I-4,Puesto de Salud,-13.220699,-73.552237,"[{""target_id"": ""AYA-HII-007"", ""weight_km"": 15.447, ""level_gap"": 1}, {""target_id"": ""AYA-HII-009"", ""weight_km"": 25.38, ""level_gap"": 1}, {""target_id"": ""AYA-HII-004"", ""weight_km"": 89.846, ""level_gap"": 1}, {""target_id"": ""APU-HII-012"", ""weight_km"": 14.935, ""level_gap"": 1}]"
AYA-I-028,Puesto de Salud Ayacucho #28,Ayacucho,I-3,Puesto de Salud,-13.302703,-74.410584,"[{""target_id"": ""AYA-HII-003"", ""weight_km"": 21.099, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 26.788, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 41.523, ""level_gap"": 1}, {""target_id"": ""HUA-HII-009"", ""weight_km"": 30.05, ""level_gap"": 1}]"
AYA-I-029,Puesto de Salud Ayacucho #29,Ayacucho,I-2,Puesto de Salud,-13.772853,-74.998774,"[{""target_id"": ""AYA-HII-006"", ""weight_km"": 14.777, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 38.891, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 49.193, ""level_gap"": 1}, {""target_id"": ""HUA-HII-008"", ""weight_km"": 59.957, ""level_gap"": 1}]"
AYA-I-030,Centro de Salud Ayacucho #30,Ayacucho,I-2,Centro de Salud,-13.632776,-74.507903,"[{""target_id"": ""AYA-HII-008"", ""weight_km"": 17.339, ""level_gap"": 1}, {""target_id"": ""AYA-HII-005"", ""weight_km"": 23.01, ""level_gap"": 1}, {""target_id"": ""AYA-HII-004"", ""weight_km"": 33.731, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 52.177, ""level_gap"": 1}]"
AYA-I-031,Puesto de Salud Ayacucho #31,Ayacucho,I-2,Puesto de Salud,-13.859673,-74.847723,"[{""target_id"": ""AYA-HII-006"", ""weight_km"": 17.945, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 31.701, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 53.54, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 74.103, ""level_gap"": 1}]"
AYA-I-032,Puesto de Salud Ayacucho #32,Ayacucho,I-2,Puesto de Salud,-13.000768,-74.993432,"[{""target_id"": ""AYA-HII-002"", ""weight_km"": 9.405, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 47.988, ""level_gap"": 1}, {""target_id"": ""AYA-HII-011"", ""weight_km"": 49.201, ""level_gap"": 1}, {""target_id"": ""HUA-HII-011"", ""weight_km"": 4.207, ""level_gap"": 1}]"
AYA-I-033,Puesto de Salud Ayacucho #33,Ayacucho,I-3,Puesto de Salud,-13.652029,-74.665936,"[{""target_id"": ""AYA-HII-008"", ""weight_km"": 2.021, ""level_gap"": 1}, {""target_id"": ""AYA-HII-006"", ""weight_km"": 24.106, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 32.699, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 49.739, ""level_gap"": 1}]"
AYA-I-034,Puesto de Salud Ayacucho #34,Ayacucho,I-3,Puesto de Salud,-13.196188,-74.912364,"[{""target_id"": ""AYA-HII-001"", ""weight_km"": 24.797, ""level_gap"": 1}, {""target_id"": ""AYA-HII-002"", ""weight_km"": 25.171, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 52.198, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 21.915, ""level_gap"": 1}]"
AYA-I-035,Centro de Salud Ayacucho #35,Ayacucho,I-2,Centro de Salud,-13.187447,-74.558666,"[{""target_id"": ""AYA-HII-003"", ""weight_km"": 15.4, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 23.152, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 32.728, ""level_gap"": 1}, {""target_id"": ""HUA-HII-009"", ""weight_km"": 10.403, ""level_gap"": 1}]"
AYA-I-036,Centro de Salud Ayacucho #36,Ayacucho,I-3,Centro de Salud,-12.810457,-73.787368,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 38.049, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 50.544, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 70.823, ""level_gap"": 1}, {""target_id"": ""APU-HII-005"", ""weight_km"": 54.499, ""level_gap"": 1}]"
AYA-I-037,Puesto de Salud Ayacucho #37,Ayacucho,I-4,Puesto de Salud,-13.137132,-74.750613,"[{""target_id"": ""AYA-HII-002"", ""weight_km"": 25.577, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 27.487, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 33.989, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 8.896, ""level_gap"": 1}]"
AYA-I-038,Puesto de Salud Ayacucho #38,Ayacucho,I-2,Puesto de Salud,-13.654756,-74.14229,"[{""target_id"": ""AYA-HII-004"", ""weight_km"": 9.905, ""level_gap"": 1}, {""target_id"": ""AYA-HII-005"", ""weight_km"": 22.273, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 56.892, ""level_gap"": 1}, {""target_id"": ""APU-HII-007"", ""weight_km"": 36.814, ""level_gap"": 1}]"
AYA-I-039,Puesto de Salud Ayacucho #39,Ayacucho,I-4,Puesto de Salud,-12.490098,-73.566015,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 57.161, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 86.129, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 109.496, ""level_gap"": 1}, {""target_id"": ""APU-HII-005"", ""weight_km"": 71.963, ""level_gap"": 1}]"
AYA-I-040,Centro de Salud Ayacucho #40,Ayacucho,I-3,Centro de Salud,-13.134244,-73.485135,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 15.026, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 25.979, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 98.036, ""level_gap"": 1}, {""target_id"": ""APU-HII-005"", ""weight_km"": 10.174, ""level_gap"": 1}]"
AYA-I-041,Centro de Salud Ayacucho #41,Ayacucho,I-3,Centro de Salud,-13.114371,-73.717701,"[{""target_id"": ""AYA-HII-007"", ""weight_km"": 15.924, ""level_gap"": 1}, {""target_id"": ""AYA-HII-009"", ""weight_km"": 27.327, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 72.756, ""level_gap"": 1}, {""target_id"": ""APU-HII-012"", ""weight_km"": 35.053, ""level_gap"": 1}]"
AYA-I-042,Centro de Salud Ayacucho #42,Ayacucho,I-2,Centro de Salud,-13.00148,-73.700881,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 22.339, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 28.224, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 74.681, ""level_gap"": 1}, {""target_id"": ""APU-HII-005"", ""weight_km"": 35.628, ""level_gap"": 1}]"
AYA-I-043,Centro de Salud Ayacucho #43,Ayacucho,I-2,Centro de Salud,-12.714334,-73.788229,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 44.916, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 61.056, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 75.627, ""level_gap"": 1}, {""target_id"": ""APU-HII-005"", ""weight_km"": 61.781, ""level_gap"": 1}]"
AYA-I-044,Centro de Salud Ayacucho #44,Ayacucho,I-2,Centro de Salud,-13.135306,-74.479987,"[{""target_id"": ""AYA-HII-003"", ""weight_km"": 5.127, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 12.865, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 42.971, ""level_gap"": 1}, {""target_id"": ""HUA-HII-001"", ""weight_km"": 15.125, ""level_gap"": 1}]"
AYA-I-045,Puesto de Salud Ayacucho #45,Ayacucho,I-2,Puesto de Salud,-12.75384,-74.269968,"[{""target_id"": ""AYA-HII-012"", ""weight_km"": 31.951, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 36.641, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 44.055, ""level_gap"": 1}, {""target_id"": ""HUA-HII-002"", ""weight_km"": 31.355, ""level_gap"": 1}]"
AYA-I-046,Puesto de Salud Ayacucho #46,Ayacucho,I-3,Puesto de Salud,-13.233881,-73.433362,"[{""target_id"": ""AYA-HII-009"", ""weight_km"": 26.903, ""level_gap"": 1}, {""target_id"": ""AYA-HII-007"", ""weight_km"": 27.932, ""level_gap"": 1}, {""target_id"": ""AYA-HII-004"", ""weight_km"": 99.501, ""level_gap"": 1}, {""target_id"": ""APU-HII-012"", ""weight_km"": 2.314, ""level_gap"": 1}]"
AYA-I-047,Centro de Salud Ayacucho #47,Ayacucho,I-3,Centro de Salud,-13.747247,-74.936117,"[{""target_id"": ""AYA-HII-006"", ""weight_km"": 7.629, ""level_gap"": 1}, {""target_id"": ""AYA-HII-008"", ""weight_km"": 31.55, ""level_gap"": 1}, {""target_id"": ""AYA-HII-001"", ""weight_km"": 43.753, ""level_gap"": 1}, {""target_id"": ""HUA-HII-008"", ""weight_km"": 62.207, ""level_gap"": 1}]"
AYA-I-048,Centro de Salud Ayacucho #48,Ayacucho,I-4,Centro de Salud,-13.387168,-74.251224,"[{""target_id"": ""AYA-HII-003"", ""weight_km"": 36.389, ""level_gap"": 1}, {""target_id"": ""AYA-HII-004"", ""weight_km"": 36.964, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 38.958, ""level_gap"": 1}, {""target_id"": ""HUA-HII-001"", ""weight_km"": 49.117, ""level_gap"": 1}]"
AYA-I-049,Centro de Salud Ayacucho #49,Ayacucho,I-4,Centro de Salud,-13.188737,-73.94464,"[{""target_id"": ""AYA-HII-007"", ""weight_km"": 28.483, ""level_gap"": 1}, {""target_id"": ""AYA-HII-010"", ""weight_km"": 49.946, ""level_gap"": 1}, {""target_id"": ""AYA-HII-009"", ""weight_km"": 53.081, ""level_gap"": 1}, {""target_id"": ""APU-HII-004"", ""weight_km"": 40.549, ""level_gap"": 1}]"
AYA-I-050,Centro de Salud Ayacucho #50,Ayacucho,I-3,Centro de Salud,-12.691492,-74.904173,"[{""target_id"": ""AYA-HII-011"", ""weight_km"": 15.618, ""level_gap"": 1}, {""target_id"": ""AYA-HII-002"", ""weight_km"": 30.963, ""level_gap"": 1}, {""target_id"": ""AYA-HII-012"", ""weight_km"": 37.291, ""level_gap"": 1}, {""target_id"": ""HUA-HII-004"", ""weight_km"": 15.32, ""level_gap"": 1}]"
AYA-I-051,Puesto de Salud Ayacucho #51,Ayacucho,I-4,Puesto de Salud,-13.190754,-74.798661,"[{""target_id"": ""AYA-HII-001"", ""weight_km"": 21.309, ""level_gap"": 1}, {""target_id"": ""AYA-HII-002"", ""weight_km"": 27.494, ""level_gap"": 1}, {""target_id"": ""AYA-HII-003"", ""weight_km"": 39.999, ""level_gap"": 1}, {""target_id"": ""HUA-HII-003"", ""weight_km"": 9.739, ""level_gap"": 1}]"
